Order_ID,Order_Date,Customer_ID,Product_ID,Region,Quantity_Sold,Unit_Cost,Unit_Price,Total_Revenue
ORD005429,2025-01-01,CUST2212,P039,North,1,355.16,673.69,673.69
ORD004979,2025-01-01,CUST1408,P043,North,8,136.95,189.43,1515.44
ORD006921,2025-01-01,CUST3216,P036,East,3,482.09,735.77,2207.31
ORD002458,2025-01-01,CUST5815,P028,North,5,398.21,791.85,3959.25
ORD005516,2025-01-01,CUST8552,P045,West,8,433.6,654.3,5234.4
ORD009959,2025-01-01,CUST7481,P031,East,2,254.43,407.76,815.52
ORD004254,2025-01-01,CUST7807,P023,North,4,315.95,578.03,2312.12
ORD000039,2025-01-01,CUST3417,P014,West,7,148.3,272.15,1905.05
ORD009446,2025-01-01,CUST7044,P050,East,6,218.77,299.68,1798.08
ORD006794,2025-01-01,CUST3943,P046,North,8,358.75,499.2,3993.6
ORD008424,2025-01-01,CUST6306,P009,North,2,468.44,609.92,1219.84
ORD003221,2025-01-01,CUST7335,P010,West,4,330.83,509.42,2037.68
ORD004781,2025-01-01,CUST8097,P028,West,9,398.21,727.91,6551.19
ORD006366,2025-01-01,CUST4200,P038,East,6,359.85,594.25,3565.5
ORD008169,2025-01-01,CUST4767,P002,East,4,302.28,439.98,1759.92
ORD009122,2025-01-01,CUST4809,P036,South,5,482.09,754.42,3772.1
ORD003354,2025-01-01,CUST3534,P021,South,2,302.27,535.57,1071.14
ORD004629,2025-01-01,CUST6863,P011,South,3,82.29,111.61,334.83
ORD007613,2025-01-01,CUST4048,P024,South,8,312.87,606.19,4849.52
ORD005378,2025-01-02,CUST3139,P011,East,4,82.29,127.07,508.28
ORD001064,2025-01-02,CUST9900,P041,North,5,147.12,263.9,1319.5
ORD005301,2025-01-02,CUST8133,P043,West,4,136.95,267.19,1068.76
ORD000142,2025-01-02,CUST7424,P010,West,9,330.83,464.81,4183.29
ORD003786,2025-01-02,CUST2125,P034,North,1,163.73,279.94,279.94
ORD003691,2025-01-02,CUST1471,P027,East,2,66.74,126.66,253.32
ORD001931,2025-01-02,CUST6683,P023,North,4,315.95,517.18,2068.72
ORD000531,2025-01-02,CUST7480,P049,North,7,102.56,157.02,1099.14
ORD001021,2025-01-02,CUST2507,P024,West,5,312.87,505.08,2525.4
ORD005950,2025-01-02,CUST9466,P042,East,4,270.11,531.2,2124.8
ORD002866,2025-01-02,CUST1561,P028,West,9,398.21,710.88,6397.92
ORD004138,2025-01-02,CUST7793,P027,West,8,66.74,91.42,731.36
ORD006232,2025-01-02,CUST2026,P048,South,4,451.19,782.93,3131.72
ORD001439,2025-01-02,CUST5324,P037,East,2,491.17,666.29,1332.58
ORD009275,2025-01-02,CUST1479,P027,South,4,66.74,88.81,355.24
ORD006965,2025-01-02,CUST2004,P044,East,2,386.92,636.45,1272.9
ORD004701,2025-01-02,CUST1996,P019,East,7,426.5,689.48,4826.36
ORD002945,2025-01-02,CUST8384,P009,South,7,468.44,891.6,6241.2
ORD006607,2025-01-02,CUST3194,P026,North,5,172.43,229.44,1147.2
ORD005329,2025-01-02,CUST8130,P039,West,5,355.16,483.67,2418.35
ORD005669,2025-01-02,CUST3778,P023,South,9,315.95,602.36,5421.24
ORD008548,2025-01-02,CUST4385,P045,South,4,433.6,767.0,3068.0
ORD000701,2025-01-02,CUST6816,P002,East,4,302.28,542.79,2171.16
ORD004811,2025-01-03,CUST4949,P045,South,3,433.6,676.18,2028.54
ORD002812,2025-01-03,CUST8125,P038,East,7,359.85,696.32,4874.24
ORD005390,2025-01-03,CUST3404,P045,North,4,433.6,734.83,2939.32
ORD006209,2025-01-03,CUST7092,P044,South,6,386.92,769.23,4615.38
ORD007514,2025-01-03,CUST9531,P023,West,1,315.95,545.67,545.67
ORD009008,2025-01-03,CUST3366,P050,South,5,218.77,331.68,1658.4
ORD004800,2025-01-03,CUST3131,P030,West,5,372.42,485.49,2427.45
ORD000743,2025-01-03,CUST2379,P044,North,5,386.92,686.97,3434.85
ORD004797,2025-01-03,CUST4174,P035,West,6,241.33,417.2,2503.2
ORD006644,2025-01-03,CUST3382,P003,East,5,310.02,518.82,2594.1
ORD004008,2025-01-03,CUST2893,P034,North,1,163.73,281.98,281.98
ORD002451,2025-01-03,CUST9336,P037,East,6,491.17,860.13,5160.78
ORD006104,2025-01-03,CUST9048,P015,West,6,38.69,73.52,441.12
ORD003099,2025-01-03,CUST7579,P003,West,6,310.02,416.06,2496.36
ORD004151,2025-01-03,CUST8437,P029,South,4,338.82,661.36,2645.44
ORD004094,2025-01-03,CUST7448,P032,South,5,59.74,88.64,443.2
ORD006628,2025-01-03,CUST2326,P047,West,6,229.84,359.49,2156.94
ORD009976,2025-01-03,CUST9067,P009,South,4,468.44,898.49,3593.96
ORD004170,2025-01-03,CUST9601,P042,South,4,270.11,363.53,1454.12
ORD000420,2025-01-03,CUST6197,P036,North,9,482.09,806.83,7261.47
ORD003041,2025-01-03,CUST6336,P027,South,1,66.74,100.47,100.47
ORD004188,2025-01-03,CUST1192,P042,East,1,270.11,389.36,389.36
ORD009955,2025-01-03,CUST7407,P001,North,4,172.21,269.52,1078.08
ORD008260,2025-01-03,CUST6138,P044,South,3,386.92,556.24,1668.72
